degre;region;departement;arrondissement;groupement;numero;denomination;acte
2;Adamaoua;Djérem;;;1;Chefferie BEKAGOTO;
2;Adamaoua;Faro-et-Déo;;;2;Chefferie MBARNANG;
2;Adamaoua;Faro-et-Déo;;;3;Chefferie MEIDJAMBA;
2;Adamaoua;Mbéré;;;4;Chefferie GALIM;
2;Adamaoua;Vina;;;5;Chefferie LOMPTA;
2;Adamaoua;Mayo-Banyo;;;6;Chefferie MAYO-BALEO;
2;Centre;Haute-Sanaga;;;7;Chefferie GADJIWAN;
2;Centre;Haute-Sanaga;;;8;Chefferie ALME;
2;Centre;Haute-Sanaga;;;9;Chefferie DODEO;
2;Centre;Haute-Sanaga;;;10;Chefferie DIR;
2;Centre;Haute-Sanaga;;;11;Chefferie KALALDI;
2;Centre;Haute-Sanaga;;;12;Chefferie BAGODO;
2;Centre;Haute-Sanaga;;;13;Chefferie LOKOTI;
2;Centre;Haute-Sanaga;;;14;Chefferie DJOHONG;
2;Centre;Haute-Sanaga;;;15;Chefferie MBE;
2;Centre;Haute-Sanaga;;;16;Chefferie BANKIM;
2;Centre;Haute-Sanaga;;;17;Chefferie NGUINDA-BADJA;
2;Centre;Haute-Sanaga;;;18;Chefferie NSEM;
2;Centre;Haute-Sanaga;;;19;Chefferie NGUEN;
2;Centre;Haute-Sanaga;;;20;Chefferie LEMBE-YEZOUM;
2;Centre;Haute-Sanaga;;;21;Chefferie DJORE;
2;Centre;Haute-Sanaga;;;22;Chefferie SIMBANE;
2;Centre;Haute-Sanaga;;;23;Chefferie WALL;
2;Centre;Haute-Sanaga;;;24;Chefferie BIBEY;
2;Centre;Haute-Sanaga;;;25;Chefferie OUASSA-BAMVELE;
2;Centre;Haute-Sanaga;;;26;Chefferie MENGA’A-BIBOA;
2;Centre;Haute-Sanaga;;;27;Chefferie BISSAGA;
2;Centre;Haute-Sanaga;;;28;Chefferie DEA;
2;Centre;Haute-Sanaga;;;29;Chefferie NKOTENG;
2;Centre;Haute-Sanaga;;;30;Chefferie MINTA;
2;Centre;Haute-Sanaga;;;31;Chefferie NDJOMBE;
2;Centre;Haute-Sanaga;;;32;Chefferie ZENGOAGA;
2;Centre;Haute-Sanaga;;;33;Chefferie ZOA;
2;Centre;Haute-Sanaga;;;34;Chefferie METEP;
2;Centre;Lekié;;;35;Chefferie NDO;
2;Centre;Lekié;;;36;Chefferie OBALA;
2;Centre;Lekié;;;37;Chefferie MVOG-NAMAII;
2;Centre;Lekié;;;38;Chefferie NKOLO;
2;Centre;Lekié;;;39;Chefferie EBOMBO;
2;Centre;Lekié;;;40;Chefferie LOUA;
2;Centre;Lekié;;;41;Chefferie ETON-BETI;
2;Centre;Lekié;;;42;Chefferie MVOG-ONAMENYE;
2;Centre;Lekié;;;43;Chefferie NTSASETNDO;
2;Centre;Lekié;;;44;Chefferie LEBAMZIP;
2;Centre;Lekié;;;45;Chefferie KOUGOUDA;
2;Centre;Lekié;;;46;Chefferie NKOLMVAK;
2;Centre;Lekié;;;47;Chefferie MVOG-ONAMENYE;
2;Centre;Lekié;;;48;Chefferie ENGAB;
2;Centre;Lekié;;;49;Chefferie BENYABEGA;
2;Centre;Lekié;;;50;Chefferie MENDOUM;
2;Centre;Lekié;;;51;Chefferie EKOT;
2;Centre;Lekié;;;52;Chefferie MINKAMA;
2;Centre;Lekié;;;53;Chefferie KOUNA-ODZOLO;
2;Centre;Lekié;;;54;Chefferie NKOLKOSSE;
2;Centre;Lekié;;;55;Chefferie MVOG-ONAMNYE1;
